Date,Close
5/12/2017,46.61
5/15/2017,46.85
5/16/2017,47.15
5/17/2017,45.98
5/18/2017,46.51
5/19/2017,46.7
5/22/2017,47.09
5/23/2017,47.44
5/24/2017,47.75
5/25/2017,48.48
5/26/2017,48.57
5/30/2017,48.79
5/31/2017,48.24
6/1/2017,48.35
6/2/2017,48.78
6/5/2017,49.18
6/6/2017,48.83
6/7/2017,49.05
6/8/2017,49.17
6/9/2017,47.49
6/12/2017,47.15
6/13/2017,47.67
6/14/2017,47.54
6/15/2017,47.12
6/16/2017,46.99
6/19/2017,47.87
6/20/2017,47.53
6/21/2017,47.97
6/22/2017,47.85
6/23/2017,48.28
6/26/2017,47.61
6/27/2017,46.37
6/28/2017,47.02
6/29/2017,45.89
6/30/2017,45.44
7/3/2017,44.94
7/5/2017,45.59
7/6/2017,45.33
7/7/2017,45.93
7/10/2017,46.44
7/11/2017,46.5
7/12/2017,47.19
7/13/2017,47.36
7/14/2017,47.8
7/17/2017,47.67
7/18/2017,48.27
7/19/2017,48.54
7/20/2017,48.41
7/21/2017,48.65
7/24/2017,49.02
7/25/2017,47.54
7/26/2017,47.39
7/27/2017,46.7
7/28/2017,47.08
7/31/2017,46.53
8/1/2017,46.54
8/2/2017,46.52
8/3/2017,46.18
8/4/2017,46.4
8/7/2017,46.47
8/8/2017,46.34
8/9/2017,46.15
8/10/2017,45.36
8/11/2017,45.72
8/14/2017,46.13
8/15/2017,46.11
8/16/2017,46.35
8/17/2017,45.55
8/18/2017,45.53
8/21/2017,45.33
8/22/2017,46.23
8/23/2017,46.35
8/24/2017,46.06
8/25/2017,45.79
8/28/2017,45.69
8/29/2017,46.06
8/30/2017,46.48
8/31/2017,46.97
9/1/2017,46.87
9/5/2017,46.42
9/6/2017,46.39
9/7/2017,46.8
9/8/2017,46.33
9/11/2017,46.45
9/12/2017,46.6
9/13/2017,46.75
9/14/2017,46.26
9/15/2017,46.01
9/18/2017,45.75
9/19/2017,46.09
9/20/2017,46.58
9/21/2017,46.62
9/22/2017,46.43
9/25/2017,46.05
9/26/2017,46.24
9/27/2017,47.22
9/28/2017,47.48
9/29/2017,47.96
10/2/2017,47.66
10/3/2017,47.89
10/4/2017,47.58
10/5/2017,48.5
10/6/2017,48.94
10/9/2017,48.85
10/10/2017,48.63
10/11/2017,49.46
10/12/2017,49.39
10/13/2017,49.48
10/16/2017,49.6
10/17/2017,49.61
10/18/2017,49.64
10/19/2017,49.22
10/20/2017,49.41
10/23/2017,48.42
10/24/2017,48.53
10/25/2017,48.67
10/26/2017,48.63
10/27/2017,50.96
10/30/2017,50.86
10/31/2017,50.83
11/1/2017,51.28
11/2/2017,51.28
11/3/2017,51.62
11/6/2017,51.3
11/7/2017,51.67
11/8/2017,51.99
11/9/2017,51.56
11/10/2017,51.4
11/13/2017,51.29
11/14/2017,51.3
11/15/2017,51.05
11/16/2017,51.63
11/17/2017,50.95
11/20/2017,50.92
11/21/2017,51.72
11/22/2017,51.8
11/24/2017,52.03
11/27/2017,52.71
11/28/2017,52.37
11/29/2017,51.08
11/30/2017,51.07
12/1/2017,50.51
12/4/2017,49.93
12/5/2017,50.26
12/6/2017,50.92
12/7/2017,51.55
12/8/2017,51.85
12/11/2017,52.06
12/12/2017,52.02
12/13/2017,52.03
12/14/2017,52.46
12/15/2017,53.21
12/18/2017,53.86
12/19/2017,53.53
12/20/2017,53.25
12/21/2017,53.18
12/22/2017,53.01
12/26/2017,52.84
12/27/2017,52.47
12/28/2017,52.41
12/29/2017,52.32
1/2/2018,53.25
1/3/2018,54.12
1/4/2018,54.32
1/5/2018,55.11
1/8/2018,55.35
1/9/2018,55.31
1/10/2018,55.13
1/11/2018,55.28
1/12/2018,56.11
1/16/2018,56.09
1/17/2018,56.6
1/18/2018,56.49
1/19/2018,56.88
1/22/2018,57.79
1/23/2018,58.5
1/24/2018,58.21
1/25/2018,58.52
1/26/2018,58.79
1/29/2018,58.78
1/30/2018,58.18
1/31/2018,58.5
2/1/2018,58.39
2/2/2018,55.6
2/5/2018,52.79
2/6/2018,54.03
2/7/2018,52.43
2/8/2018,50.08
2/9/2018,51.89
2/12/2018,52.6
2/13/2018,52.61
2/14/2018,53.49
2/15/2018,54.48
2/16/2018,54.74
2/20/2018,55.12
2/21/2018,55.57
2/22/2018,55.33
2/23/2018,56.34
2/26/2018,57.19
2/27/2018,55.91
2/28/2018,55.24
3/1/2018,53.48
3/2/2018,53.95
3/5/2018,54.55
3/6/2018,54.75
3/7/2018,55.48
3/8/2018,56.3
3/9/2018,58
3/12/2018,58.23
3/13/2018,56.91
3/14/2018,57.47
3/15/2018,57.48
3/16/2018,56.79
3/19/2018,54.99
3/20/2018,54.89
3/21/2018,54.54
3/22/2018,52.45
3/23/2018,51.08
3/26/2018,52.66
3/27/2018,50.26
3/28/2018,50.23
3/29/2018,51.59
4/2/2018,50.32
4/3/2018,50.67
4/4/2018,51.26
4/5/2018,51.39
4/6/2018,50.35
4/9/2018,50.77
4/10/2018,51.58
4/11/2018,51
4/12/2018,51.63
4/13/2018,51.46
4/16/2018,51.9
4/17/2018,53.71
4/18/2018,53.6
4/19/2018,54.39
4/20/2018,53.65
4/23/2018,53.37
4/24/2018,51
4/25/2018,51.06
4/26/2018,52
4/27/2018,51.5
4/30/2018,50.87
5/1/2018,51.87
5/2/2018,51.22
5/3/2018,51.19
5/4/2018,52.41
5/7/2018,52.74
5/8/2018,52.7
5/9/2018,54.14
5/10/2018,54.88
5/11/2018,54.91
